X,Y
-85.7131,32.2928
-85.7128,32.2987
-85.7196,32.2929
-85.7233,32.2971
-85.7261,32.2916
-85.7299,32.2992
-85.7284,32.3066
-85.7302,32.3114
-85.7388,32.3127
-85.7403,32.3052
-85.7377,32.2994
-85.7400,32.28757248
-85.7429,32.29597224
-85.7447,32.30772737
-85.7488,32.31017416
-85.7537,32.31100906
-85.7574,32.31936647
-85.7454,32.32048048
-85.7381,32.32016405
-85.7449,32.28851707
-85.7720,32.30309454
-85.7630,32.30391
-85.7821,32.30511758
-85.7863,32.29062234
-85.7846,32.29581513
-85.7847,32.28449709
-85.7706,32.29646854
-85.7653,32.29916669
-85.7683,32.29294163
-85.7730,32.29138022
-85.7545,32.29152668
-85.7540,32.30107478
-85.7534,32.30450981
-85.7722,32.28396389
-85.7660,32.2832399
-85.7592,32.28326172
-85.7491,32.2806063
-85.7480,32.27440727
-85.7525,32.273614
-85.7350,32.27347951
